,Collection,PatientID,PatientName,PatientSex,StudyInstanceUID,StudyDate,StudyDescription,PatientAge,SeriesCount,SeriesInstanceUID,Modality,SeriesDescription,SeriesNumber,ManufacturerModelName,SoftwareVersions,Visibility,ImageCount,ProtocolName,SeriesDate
25,CC-Radiomics-Phantom-3,CCR-3-CT81,CCR-3-CT81,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.307356955178341009667141544004,2000-02-07,Radiomics Phantom,000Y,2,1.3.6.1.4.1.14519.5.2.1.1706.3977.657212508945850510389719113658,CT,Control,1.000000,LightSpeed16,LightSpeedverrel,1,84,8.1 RT SIMULATION PELVIS,2000-02-07
26,CC-Radiomics-Phantom-3,CCR-3-CT81,CCR-3-CT81,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.186482667413016270524130467780,2000-02-07,Radiomics Phantom,000Y,2,1.3.6.1.4.1.14519.5.2.1.1706.3977.238411779346141637578209436890,RTSTRUCT,Chest,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
27,CC-Radiomics-Phantom-3,CCR-3-CT81,CCR-3-CT81,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.186482667413016270524130467780,2000-02-07,Radiomics Phantom,000Y,2,1.3.6.1.4.1.14519.5.2.1.1706.3977.165668160311037751227592378614,CT,Chest,1.000000,LightSpeed16,LightSpeedverrel,1,102,8.1 RT SIMULATION PELVIS,2000-02-07
28,CC-Radiomics-Phantom-3,CCR-3-CT81,CCR-3-CT81,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.308860311600049373478986483821,2000-02-07,Radiomics Phantom,000Y,2,1.3.6.1.4.1.14519.5.2.1.1706.3977.176669820466260578519867950466,RTSTRUCT,Head,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
29,CC-Radiomics-Phantom-3,CCR-3-CT81,CCR-3-CT81,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.308860311600049373478986483821,2000-02-07,Radiomics Phantom,000Y,2,1.3.6.1.4.1.14519.5.2.1.1706.3977.230908185477294054747014805710,CT,Head,1.000000,LightSpeed16,LightSpeedverrel,1,95,8.1 RT SIMULATION PELVIS,2000-02-07
30,CC-Radiomics-Phantom-3,CCR-3-CT18,CCR-3-CT18,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.310101458411495884778273201688,1999-07-27,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.188408451970568766973234576572,RTSTRUCT,Chest,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
31,CC-Radiomics-Phantom-3,CCR-3-CT18,CCR-3-CT18,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.310101458411495884778273201688,1999-07-27,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.122396504282462409242051817055,RTSTRUCT,Head,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
32,CC-Radiomics-Phantom-3,CCR-3-CT18,CCR-3-CT18,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.310101458411495884778273201688,1999-07-27,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.662731420307046854474811803769,RTSTRUCT,Control,1.000000,Vision 7.3 - External Beam Planning,OS 7.3.10,1,1,,
33,CC-Radiomics-Phantom-3,CCR-3-CT18,CCR-3-CT18,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.310101458411495884778273201688,1999-07-27,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.617548844703597566830654264123,CT,Chest,1.000000,LightSpeed16,LightSpeedverrel,1,74,8.1 RT SIMULATION PELVIS,1999-07-27
34,CC-Radiomics-Phantom-3,CCR-3-CT18,CCR-3-CT18,M,1.3.6.1.4.1.14519.5.2.1.1706.3977.310101458411495884778273201688,1999-07-27,Radiomics Phantom,000Y,6,1.3.6.1.4.1.14519.5.2.1.1706.3977.132941739744168026248839079228,CT,Head,1.000000,LightSpeed16,LightSpeedverrel,1,111,8.1 RT SIMULATION PELVIS,1999-07-27
